tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
96.59053,62.849503,-120.05778,167.58055,120.92301,2.8278186
88.5578,60.725502,292.99066,312.217,-77.933655,-704.1435
-61.615654,-57.9291,53.23787,99.93268,-70.11857,-179.94603
42.091003,195.58928,156.83794,258.64526,-285.5383,-216.08652
-4.4304028,-92.084595,12.343912,93.50019,-407.52692,458.9998
-106.62276,-39.692894,7.082051,118.22692,112.47752,71.18121
-79.802734,9.106307,40.810978,91.381096,154.47012,-63.552902
-96.09518,35.617416,117.87016,156.52432,189.149,-108.74619
233.93413,20.744263,-571.2003,618.2298,412.3708,-165.727
29.769115,-150.18135,-96.57683,182.74762,-110.9884,122.65031
302.30566,165.37485,732.19794,810.2205,-153.20836,-118.97063
-92.344505,308.86746,53.442875,329.45847,186.65201,-18.706636
115.07527,-129.03958,-226.04102,285.2451,-183.48312,131.10455
32.901554,-76.15768,-194.875,212.26683,-174.75279,-826.68994
359.4518,599.9862,-950.4887,1180.4529,-268.73346,-407.4487
-104.11524,-77.980064,-97.22244,163.45293,202.42776,-239.42308
-335.02768,60.69155,-625.84094,713.2455,-121.75358,-154.79227
-492.71198,110.295395,-672.01135,847.9224,359.81213,-45.35484
-100.69383,-439.1153,588.637,742.1607,-21.543655,-121.12125
413.55753,177.49089,589.55035,744.6711,159.5138,99.44406
171.98537,-23.663588,43.566544,179.2659,-207.10542,334.40195
72.434074,50.376083,-32.288895,95.09071,419.78738,-17.223774
45.221783,-122.97886,314.51788,341.868,125.164474,-123.82336
-77.29939,73.84785,-24.89207,111.53048,119.53836,23.000221
332.48395,-67.37925,-311.64105,461.7439,-308.4335,-214.70992
-85.433014,129.74675,223.58223,273.29016,1.6199816,131.22
251.55672,563.3825,1599.1346,1715.8823,27.774685,118.610085
49.6186,81.34196,-176.81534,201.16576,-436.83514,-204.19153
-129.71126,-96.1779,182.95003,244.51492,-298.38837,-180.81223
51.20719,-118.64287,-19.720568,132.40826,-126.192986,-11.948262
51.0543,125.6107,-774.18256,786.1151,-147.86061,-115.588936
-273.48776,220.38283,-510.25885,619.6681,-177.04485,177.201
409.6184,-4.8798065,-26.111284,411.7952,109.36918,-49.72757
-184.98633,104.81524,1157.8794,1177.4954,172.37825,-201.02493
149.09729,259.3373,2485.9226,2504.307,50.96851,144.55386
394.354,90.62362,-345.5038,538.649,166.80823,17.356892
-556.23804,-83.41495,432.5507,710.34546,141.57886,31.258667
240.94733,-358.5029,-1524.4191,1584.9855,247.15945,136.56436
8.125612,-95.737335,-62.21369,115.2272,116.99459,136.3412
66.57323,78.063965,193.22801,219.12373,-74.22101,119.556786
-11.878017,-90.48897,-99.733864,135.32552,-281.09454,-204.74188
-84.73497,-240.10925,696.64874,743.31384,-162.19943,-45.55784
-325.4976,-308.1034,-167.9031,486.09155,-131.88824,-1.88975
-105.67675,5.81604,-20.340147,108.352394,-399.77353,-186.1401
231.5915,2.9845865,149.54132,277.77277,139.82947,4.7040706
177.11447,-63.849052,174.03546,257.66577,-164.41951,138.71529
123.37736,-117.70514,-43.57008,181.11795,-145.28764,45.124577
178.15814,117.66397,618.1267,654.5017,-81.25835,-179.7538
114.927605,-39.041203,827.8118,836.8836,-145.71924,37.5408
