tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
107.77997,154.86813,-34.469498,192.19403,-118.72617,-150.59836
-220.75908,-297.37762,-283.61707,466.50577,226.82704,303.334
-52.405632,322.25558,-162.8157,364.83612,78.538925,-315.4652
135.2526,207.21124,-37.457348,250.26888,-136.43065,-203.4475
97.776344,124.60488,-93.121155,183.94705,-90.5397,-108.411766
-37.2228,-164.86703,-163.77917,235.35252,20.120306,159.47241
-53.78703,-354.43768,76.30966,366.5317,55.5323,359.47958
348.5525,-35.470722,-941.7017,1004.8054,-343.014,31.912605
-308.87506,-345.81717,79.40994,470.49756,304.4512,343.13568
46.757072,-150.23637,85.58605,179.12285,-21.847353,120.73673
-185.98053,-252.63283,-135.55481,341.75183,210.9554,247.81335
417.92343,6.227515,193.51988,460.59607,-424.6444,-20.196264
-79.42565,101.57476,92.51816,158.69939,89.41302,-111.35746
-165.6799,-433.9577,-12.01987,464.70346,166.44978,429.41714
287.93253,346.90668,-145.7269,473.8027,-291.9859,-337.6777
129.53548,124.74504,-69.03245,192.70801,-160.8913,-136.23174
-341.4023,-149.99844,390.80103,540.1784,342.6824,145.34302
-197.66249,43.349148,-317.48322,376.51932,175.94527,-27.494974
283.54248,-48.543842,-377.0897,474.28885,-280.3093,53.85463
-393.44623,-126.833336,214.26556,465.63852,385.73877,146.5408
-338.6793,-122.16326,-256.28372,441.94098,336.13016,194.766
80.55871,142.69255,89.220764,186.621,-78.068085,-153.31306
247.72461,22.11949,-758.5514,798.28485,-245.84636,-16.035454
-76.32821,297.86002,-800.99255,858.0472,53.1279,-297.56454
-436.49796,-102.84436,-639.40466,781.0647,451.83472,109.97599
227.68471,-73.83947,-322.8696,401.91714,-220.20065,69.83679
177.70865,137.70381,-267.2732,349.25302,-195.76952,-162.5818
-49.505413,191.62033,-23.095577,199.25502,48.492214,-189.19946
-26.38867,-227.8705,0.56725097,229.40002,22.409416,207.80067
276.58447,-160.828,382.95496,499.01825,-273.04428,159.76846
115.83708,-119.32581,-438.15912,468.65906,-111.43211,117.57179
-151.05537,363.67798,709.8455,811.76447,148.76967,-363.75494
-334.25757,16.493095,-127.41902,359.5617,321.83853,-0.17322552
205.70859,19.582079,-706.3279,735.9354,-197.01268,-17.468868
-10.705874,-288.35773,-465.75192,547.9457,23.402624,294.31003
-323.53687,170.12497,-212.56146,422.8982,324.1713,-168.36295
-52.904087,155.20601,-583.19824,605.81586,24.28099,-146.92397
-219.65314,165.89006,771.98413,819.6086,219.10124,-150.49078
169.5562,380.7849,399.5504,577.5023,-168.01869,-384.00845
5.3064537,-274.9125,218.16843,351.00217,5.78389,281.19177
330.61838,-10.511995,-283.73523,437.64218,-336.5883,8.605972
-282.6372,-47.57949,-98.285225,303.01257,-30.661364,-160.18901
-23.49087,-179.6497,-17.255047,181.99889,45.863926,184.08159
50.45528,-116.73178,-156.13824,201.3757,-49.655464,130.88649
-140.65555,249.86682,660.62897,720.17224,172.93526,-249.96837
-273.16336,39.181866,84.60408,288.63873,267.37885,-34.91462
20.536608,-196.7478,-479.49518,518.739,-13.24593,211.64291
281.7163,-80.56343,1331.4734,1363.3475,-269.83307,89.84136
-179.88376,-138.32106,-292.26807,370.01855,174.1578,138.998
26.333765,130.35141,15.66311,133.91208,-40.942043,-127.80033
101.55414,-222.38324,-3.3408582,244.4978,-106.811775,222.63202
-172.63898,207.37256,-163.70493,315.60748,185.78378,-222.62814
117.36871,363.1352,-415.15436,564.0224,-113.442085,-357.82166
331.49524,-138.13905,279.3387,455.00998,-324.01465,131.84894
442.4796,74.17759,-123.53501,465.41248,-439.5598,-68.1042
121.26415,93.90454,-6.197833,153.507,-116.761604,-87.26534
295.8677,192.42928,-284.97528,453.62955,171.12123,-310.79776
-91.22901,193.71872,-163.69356,271.07413,115.49062,-190.07077
248.33813,-9.352216,-380.97043,454.8615,-253.60016,6.473523
339.92944,-22.785458,1355.8435,1397.9956,-337.94327,22.46744
321.58514,-72.77428,-131.11862,355.13574,-316.7299,67.51678
62.43911,-252.94823,214.05437,337.25436,-59.807957,266.24286
-409.48627,206.01323,589.8382,747.20447,403.94482,-213.47299
66.76826,303.67596,-89.33181,323.52307,-57.408985,-313.03265
-139.89276,-135.30132,-1053.1373,1070.969,119.39423,123.99781
2.837654,219.63501,-230.50601,318.4038,-22.95599,-224.13673
-321.17725,-118.74178,-30.88531,343.82272,304.1846,125.30667
483.85718,-236.99484,-541.5648,764.0278,-460.59897,232.75107
173.77832,-122.797935,-444.3986,493.31705,-178.4583,165.67203
-49.621,132.34427,24.069798,143.38304,53.33962,-128.14348
-132.51985,-91.08289,71.7685,176.10626,137.89198,112.456215
-165.71219,-41.238007,-7.219162,170.95752,163.17697,41.251778
-220.7228,-118.49347,-582.31177,633.91345,218.04979,115.918495
-334.98895,129.05437,-87.039444,369.4578,335.86188,-145.96202
-313.04877,-175.61896,265.71445,446.59552,308.56586,174.30855
60.568752,-170.50961,94.76109,204.26021,-48.76973,189.07608
301.5638,-112.15346,886.71063,943.2788,-275.73752,104.12359
158.71988,-405.5085,804.667,915.00574,-163.1522,416.24765
334.00525,-156.18863,-686.163,778.95795,-336.0647,123.75204
-174.14873,-486.36823,215.65565,559.81195,167.06926,466.47058
-242.97063,23.302065,-126.64239,274.9882,246.7428,-21.231024
-419.45065,-34.19033,287.91833,510.10794,419.00433,28.271414
-88.158905,362.28394,221.31555,433.5923,99.47315,-357.26758
212.1478,-353.89102,-86.47784,421.57413,-210.46074,350.05093
109.696014,-84.99957,38.2709,143.95917,-108.32201,92.74008
362.37674,87.547485,110.449394,388.83148,-354.56815,-88.31684
146.78207,-136.19649,-133.03963,240.5128,-164.64574,117.78166
-138.40349,-201.04018,28.824041,245.77391,141.66492,172.49026
-27.97146,-318.08826,-460.60934,560.46747,29.002083,315.92114
242.60297,22.979195,-486.5646,544.21576,-236.86356,-21.753511
-225.24173,-126.656166,335.75854,423.6863,219.17276,137.33835
-216.52017,-167.275,22.234001,274.51492,212.89865,165.91429
-131.46729,26.104885,-15.793738,134.96225,144.90213,18.545801
28.59041,-274.31866,139.03682,308.86792,-39.445347,273.6848
132.23521,336.7447,67.40204,369.60263,-128.61464,-345.50046
-10.594239,278.94864,56.9202,284.8974,10.7517605,-277.78775
58.47753,-159.99489,424.87473,457.75247,-46.629353,156.34645
73.31083,210.91249,782.1113,813.3631,-85.57947,-202.2049
61.591373,192.80476,-179.06139,270.25015,-63.867195,-191.60477
